Date_Only,Sector,Avg_Close_Price,Total_Volume
2020-01-03,Basic Materials,103.15705766677857,60147767
2020-01-03,Communication Services,78.17306000845772,151415125
2020-01-03,Consumer Cyclical,102.74151277542114,363575600
2020-01-03,Consumer Defensive,109.1916012234158,54823900
2020-01-03,Energy,56.41566963195801,87174200
2020-01-03,Financial Services,135.998474020707,133665800
2020-01-03,Healthcare,161.15010738372803,76490858
2020-01-03,Industrials,151.35528694955926,69735822
2020-01-03,Technology,99.59531083703041,542274490
2020-01-06,Basic Materials,102.82934446334839,57675310
2020-01-06,Communication Services,78.96264566693988,213853986
2020-01-06,Consumer Cyclical,103.38495564460754,262454800
2020-01-06,Consumer Defensive,109.54142591688368,65754100
2020-01-06,Energy,56.90562915802002,109148900
2020-01-06,Financial Services,135.74020977020263,139847000
2020-01-06,Healthcare,162.3267156600952,88580037
2020-01-06,Industrials,151.48367881774902,84678973
2020-01-06,Technology,100.20552304387093,564438873
2020-01-07,Basic Materials,102.65048923492432,68307367
2020-01-07,Communication Services,78.9399858202253,181020930
2020-01-07,Consumer Cyclical,103.31254839897156,380874700
2020-01-07,Consumer Defensive,108.97586017184787,59413300
2020-01-07,Energy,56.940843772888186,84063600
2020-01-07,Financial Services,135.43829555511473,123295700
2020-01-07,Healthcare,162.0513858795166,98905344
2020-01-07,Industrials,151.29738857871607,74273247
2020-01-07,Technology,100.5343424975872,618027377
2020-01-08,Basic Materials,103.35643558502197,53943763
2020-01-08,Communication Services,79.46787779671806,215700458
2020-01-08,Consumer Cyclical,104.45737314224243,567451600
2020-01-08,Consumer Defensive,109.85635503133138,57222300
2020-01-08,Energy,55.96065044403076,84980200
2020-01-08,Financial Services,136.50136318206788,145891600
2020-01-08,Healthcare,163.8870982170105,111514690
2020-01-08,Industrials,151.22495069001852,62901919
2020-01-08,Technology,101.55903938412666,622474416
2020-01-09,Basic Materials,104.03475322723389,47712997
2020-01-09,Communication Services,79.87572043282645,187109979
2020-01-09,Consumer Cyclical,105.3709306716919,523735000
2020-01-09,Consumer Defensive,111.12536578708225,62072000
2020-01-09,Energy,56.5863130569458,87712300
2020-01-09,Financial Services,138.09000511169432,143837800
2020-01-09,Healthcare,164.42796897888184,103065672
2020-01-09,Industrials,152.05947313810648,56973078
2020-01-09,Technology,102.5958164036274,651173908
2020-01-10,Basic Materials,103.83506784439086,44291427
2020-01-10,Communication Services,79.72076198032924,158811184
2020-01-10,Consumer Cyclical,104.75100421905518,276507200
2020-01-10,Consumer Defensive,110.91811286078558,54281100
2020-01-10,Energy,56.43506145477295,65991700
2020-01-10,Financial Services,137.43934879302978,130716000
2020-01-10,Healthcare,164.5804271697998,89274385
2020-01-10,Industrials,150.9483473928351,58573598
2020-01-10,Technology,102.3807133436203,635719048
2020-01-13,Basic Materials,105.10728034973144,62776303
2020-01-13,Communication Services,80.45862633841378,199202859
2020-01-13,Consumer Cyclical,105.28565502166748,483633700
2020-01-13,Consumer Defensive,111.63188383314345,62868200
2020-01-13,Energy,56.33542442321777,64430500
2020-01-13,Financial Services,138.89819850921631,160253600
2020-01-13,Healthcare,163.32294549942017,106783479
2020-01-13,Industrials,152.2877865841514,59505303
2020-01-13,Technology,103.49254900217056,605542826
2020-01-14,Basic Materials,104.36623430252075,62361548
2020-01-14,Communication Services,80.18254852294922,191855992
2020-01-14,Consumer Cyclical,105.28030633926392,530382700
2020-01-14,Consumer Defensive,111.98499933878581,64119600
2020-01-14,Energy,56.465074729919436,84755200
2020-01-14,Financial Services,138.2832434654236,242211300
2020-01-14,Healthcare,164.9196089744568,128210790
2020-01-14,Industrials,152.21245936343544,61608137
2020-01-14,Technology,102.9660211801529,699220326
2020-01-15,Basic Materials,105.09053297042847,48796315
2020-01-15,Communication Services,80.44137927464077,151248418
2020-01-15,Consumer Cyclical,105.40855884552002,344326400
2020-01-15,Consumer Defensive,112.07877434624567,87749800
2020-01-15,Energy,55.82549781799317,68078600
2020-01-15,Financial Services,138.94001359939574,230605600
2020-01-15,Healthcare,166.16098918914795,105284344
2020-01-15,Industrials,152.35433056480005,64008400
2020-01-15,Technology,102.75223663449287,549133611
2020-01-16,Basic Materials,105.48636074066162,54884863
